setting,source_model,target_model,model_family,fold0_weight_path,fold1_weight_path,fold2_weight_path,missing_folds,fold0_status,fold1_status,fold2_status,fold0_source,fold1_source,fold2_source
CamCan_PING_to_HCP,CamCan_PING,HCP,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D/best_weights_ep14.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D_x1/best_weights_ep23.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D_x2/best_weights_ep12.npz,-,commented,commented,active,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:45,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:47,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:49
CamCan_PING_to_HCP,CamCan_PING,HCP,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x8/best_weights_ep98.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x9/best_weights_ep95.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x10/best_weights_ep90.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:12,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:14,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:16
CamCan_PING_to_HCP,CamCan_PING,HCP,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x3/best_weights_ep63.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x6/best_weights_ep33.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x7/best_weights_ep34.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:21,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:23,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:25
CamCan_PING_to_HCP,CamCan_PING,HCP,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x3/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x4/best_weights_ep21.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x5/best_weights_ep11.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:53,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:55,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:57
CamCan_PING_to_HCP,CamCan_PING,HCP,swinunetr,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x7/best_weights_ep64.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x8/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x9/best_weights_ep55.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:29,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:31,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:33
CamCan_PING_to_HCP,CamCan_PING,HCP,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x5/best_weights_ep19.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x6/best_weights_ep11.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x7/best_weights_ep9.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:37,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:39,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference_from_CamCan_PING.pbs:41
CamCan_to_CamCan,CamCan,CamCan,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x1/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x2/best_weights_ep50.npz,-,commented || active,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:188 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:188,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:190 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:190,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:192 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:192
CamCan_to_CamCan,CamCan,CamCan,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x1/best_weights_ep224.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x4/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x5/best_weights_ep107.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:14 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:15,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:16 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:17,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:18 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:19
CamCan_to_CamCan,CamCan,CamCan,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x1/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,-,commented || active,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:58 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:59,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:60 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:61,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:63 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:64
CamCan_to_CamCan,CamCan,CamCan,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x5/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x4/best_weights_ep30.npz,-,commented || active,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:229 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:229,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:231 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:231,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:233 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:233
CamCan_to_CamCan,CamCan,CamCan,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x2/best_weights_ep205.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x5/best_weights_ep68.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x6/best_weights_ep65.npz,-,commented || active,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:104 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:101,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:100 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:103,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:102 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:105
CamCan_to_CamCan,CamCan,CamCan,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x2/best_weights_ep20.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,-,commented || active,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:144 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:144,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:146 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:146,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:149 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:149
CamCan_to_HCP,CamCan,HCP,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x1/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x2/best_weights_ep50.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:207,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:209,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:212
