source_model,model_family,fold0_weight_path,fold1_weight_path,fold2_weight_path
CamCan,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x1/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x2/best_weights_ep50.npz
CamCan,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x1/best_weights_ep224.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x4/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x5/best_weights_ep107.npz
CamCan,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x1/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz
CamCan,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x5/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x4/best_weights_ep30.npz
CamCan,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x2/best_weights_ep205.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x5/best_weights_ep68.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x6/best_weights_ep65.npz
CamCan,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x2/best_weights_ep20.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz
CamCan_PING,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D/best_weights_ep14.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D_x1/best_weights_ep23.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_MASAM3D_x2/best_weights_ep12.npz
CamCan_PING,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x8/best_weights_ep98.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x9/best_weights_ep95.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg_x10/best_weights_ep90.npz
CamCan_PING,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x3/best_weights_ep63.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x6/best_weights_ep33.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_TractSeg3D_x7/best_weights_ep34.npz
CamCan_PING,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x3/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x4/best_weights_ep21.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_mednext3D_x5/best_weights_ep11.npz
CamCan_PING,swinunetr,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x7/best_weights_ep64.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x8/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr_x9/best_weights_ep55.npz
CamCan_PING,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x5/best_weights_ep19.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x6/best_weights_ep11.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_Ping_experiment_swinunetr3D_x7/best_weights_ep9.npz
HCP,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_MASAM3D_x22/best_weights_ep28.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_MASAM3D_x1/best_weights_ep27.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_MASAM3D_x23/best_weights_ep37.npz
HCP,TractSeg,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg_x14/best_weights_ep73.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg_x1/best_weights_ep68.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg_x15/best_weights_ep52.npz
HCP,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg3D_x14/best_weights_ep17.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg3D_x1/best_weights_ep13.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_TractSeg3D_x15/best_weights_ep19.npz
HCP,mednext3D,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_mednext3D_x20/best_weights_ep17.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_mednext3D_x21/best_weights_ep18.npz,$DATA_PATH/TractSeg/hcp_exp/wholeHCP_experiment_mednext3D_x22/best_weights_ep19.npz
HCP,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr_x11/best_weights_ep67.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr_x12/best_weights_ep28.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr_x13/best_weights_ep22.npz
HCP,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr3D_x12/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr3D_x80/best_weights_ep6.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_wholeHCP_swinunetr3D_x81/best_weights_ep6.npz
HCP_CamCan,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_MASAM3D/best_weights_ep19.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_MASAM3D_x1/best_weights_ep14.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_MASAM3D_x2/best_weights_ep20.npz
